ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
32543;Alagoas;-36.4490;-10.5005;5537;5815;6026;6188;5353;4783;4594;4641;5298;5742;5974;5995;6033
32544;Alagoas;-36.3490;-10.5005;5496;5767;5942;6096;5328;4792;4598;4633;5260;5745;5927;5875;5983
32867;Alagoas;-36.5490;-10.4005;5423;5837;5886;6034;5305;4649;4426;4490;5029;5616;5851;6021;5939
32868;Alagoas;-36.4490;-10.4005;5449;5760;5951;6077;5266;4712;4503;4514;5135;5616;5860;5996;5998
32869;Alagoas;-36.3490;-10.4005;5365;5643;5836;5897;5147;4693;4496;4529;5130;5603;5788;5755;5859
32870;Alagoas;-36.2490;-10.4005;5692;5998;6146;6280;5550;4942;4722;4761;5412;5918;6162;6196;6212
33194;Alagoas;-36.7490;-10.3005;5378;5750;5867;5956;5272;4622;4428;4457;4911;5618;5761;6002;5897
33195;Alagoas;-36.6490;-10.3005;5388;5743;5843;5945;5295;4645;4444;4491;4979;5600;5787;6000;5891
33196;Alagoas;-36.5490;-10.3005;5345;5713;5734;5906;5268;4631;4426;4458;4987;5519;5707;5939;5853
33197;Alagoas;-36.4490;-10.3005;5389;5823;5936;6015;5212;4642;4358;4414;4969;5517;5779;6035;5968
33198;Alagoas;-36.3490;-10.3005;5443;5860;5993;6068;5264;4707;4409;4492;5053;5599;5870;5989;6011
33199;Alagoas;-36.2490;-10.3005;5633;5942;6092;6204;5501;4911;4686;4721;5299;5865;6078;6139;6155
33523;Alagoas;-36.8490;-10.2005;5438;5933;5900;6010;5470;4683;4486;4498;4975;5616;5749;5994;5938
33524;Alagoas;-36.7490;-10.2005;5367;5763;5801;5869;5357;4622;4487;4513;5024;5568;5677;5912;5815
33525;Alagoas;-36.6490;-10.2005;5339;5749;5765;5856;5290;4618;4452;4469;4985;5504;5662;5923;5800
33526;Alagoas;-36.5490;-10.2005;5303;5726;5737;5886;5248;4591;4382;4372;4857;5466;5680;5894;5794
